track_id,feature,outlier_value,valid_min,valid_max,deviation,artist_name,track_name,genre
7rDaUvXSu4mz6eicMzy93k,danceability,0.0592,0.06,0.99,0.0007999999999999952,Richard Wagner,"Das Rheingold, WWV 86A, Scene 1 (Highlights): Vorspiel",Opera
3Mp94GDgJpg9ke60KsSe5x,danceability,0.0595,0.06,0.99,0.0005000000000000004,Georges Bizet,"L'Arlesienne Suite, Nr. 1: III. Adagietto",Opera
2d7slvDEZqvPPwSY16eZ4s,danceability,0.0595,0.06,0.99,0.0005000000000000004,Georges Bizet,"L'Arlesienne Suite, Nr. 1: L'arlesienne Suite No. 1: III. Adagietto",Opera
0daHAVmwiEqEpQyAaKWt5h,danceability,0.0592,0.06,0.99,0.0007999999999999952,Richard Wagner,"Götterdämmerung, WWV. 86D: Siegfried's Funeral Music",Opera
0vThwQdUvUyXw8WcuKFp7D,danceability,0.0598,0.06,0.99,0.0001999999999999988,Wolfgang Amadeus Mozart,"Mozart: Ave verum corpus, K. 618",Classical
04kyaVMvZfQcF4FlGPBJWt,danceability,0.0582,0.06,0.99,0.001799999999999996,Howard Shore,Hope Fails,Classical
7wD0b6gMa6bOxyag0N3IHh,danceability,0.0599,0.06,0.99,9.999999999999593e-05,Jóhann Jóhannsson,Alejandro's Song,Classical
6i71OngJrJDr6hQIFmzYI0,danceability,0.0596,0.06,0.99,0.0003999999999999976,Haken,Clear,Jazz
5ZTOYmie4S8M0mdpQyxptN,danceability,0.0594,0.06,0.99,0.0005999999999999964,Jeremy Soule,The White River,Soundtrack
77Fw7rWYBsjA5Uf2cSocUN,danceability,0.0599,0.06,0.99,9.999999999999593e-05,Jeremy Soule,Standing Stones,Soundtrack
1frGIyTaTjvksS8FhyoqYx,danceability,0.0581,0.06,0.99,0.001899999999999999,Marcin Przybyłowicz,"Eredin, King Of The Hunt",Soundtrack
522m1LeySYCkNhPqs13l5Q,danceability,0.0594,0.06,0.99,0.0005999999999999964,Randy Edelman,Rival Walk And Discovery,Soundtrack
279rPZKm2IP9fso5p6D2Bj,danceability,0.0572,0.06,0.99,0.002799999999999997,Ramin Djawadi,Mother's Mercy,Soundtrack
04kyaVMvZfQcF4FlGPBJWt,danceability,0.0582,0.06,0.99,0.001799999999999996,Howard Shore,Hope Fails,Soundtrack
3UrGA2Rekxw6DdI8IEJRCk,danceability,0.0599,0.06,0.99,9.999999999999593e-05,Junkie XL,Nova's Orders,Soundtrack
0Ol1OGjxOEzOFzVh1xoP89,danceability,0.0581,0.06,0.99,0.001899999999999999,Max Richter,Return 16 (time capsule) - Pt. 3,Soundtrack
3IOrv00LJnh09dJc2DY5ZV,danceability,0.0592,0.06,0.99,0.0007999999999999952,Bear McCreary,Hand Surgery,Soundtrack
7wD0b6gMa6bOxyag0N3IHh,danceability,0.0599,0.06,0.99,9.999999999999593e-05,Jóhann Jóhannsson,Alejandro's Song,Soundtrack
64MWyyPx6nSxmApwW1xEOn,danceability,0.0599,0.06,0.99,9.999999999999593e-05,James Newton Howard,Katniss Is Chosen,Soundtrack
7c9YDaXixcuoCq02zltt2u,danceability,0.0595,0.06,0.99,0.0005000000000000004,Lorne Balfe,Of Life and Death,Soundtrack
0dilqERurek1iQzsVbVtOv,danceability,0.0598,0.06,0.99,0.0001999999999999988,Patrick Doyle,Banishment,Soundtrack
0bDShLotGZHqk9J1ceV5bw,danceability,0.059,0.06,0.99,0.0010000000000000009,James Horner,Closing Credits - A Beautiful Mind/Soundtrack Version,Soundtrack
0bGzvfSahkzOjUZzwjZtyz,danceability,0.0573,0.06,0.99,0.002700000000000001,James Newton Howard,Newt Talks to Credence - Bonus Track,Soundtrack
76DQ5r3uWTAavWmTOmSWoL,danceability,0.0569,0.06,0.99,0.0030999999999999986,Stars Of The Lid,I Will Surround You,World
7uddScu85rQJVoyZlg0ahV,danceability,0.0584,0.06,0.99,0.0015999999999999973,Stars Of The Lid,The Lonely People (Are Getting Lonelier),World
0uw7nsSirxHfdId3k8mdtI,danceability,0.0599,0.06,0.99,9.999999999999593e-05,Chihei Hatakeyama,Light from Garden,World
03nyYQZD0FUjyqfJWf6bqF,danceability,0.0577,0.06,0.99,0.0022999999999999965,Stars Of The Lid,"A Lovesong (For Cubs) +, Pt. 3",World
0FUqN0GGASJMWH4eceJKPl,danceability,0.057,0.06,0.99,0.0029999999999999957,Eluvium,Seeing You Off The Edges,World
3WD0pKwRzP3cIlLu5upr0n,duration_ms,15387.0,15400.0,55500000.0,13.0,Neva Eder,Pat-a-cake,Children's Music
6Q0aBakbTsjQO6iGdxmXlx,liveness,0.00967,0.01,1.0,0.00033000000000000043,The Coasters,Charlie Brown,Blues
6Q0aBakbTsjQO6iGdxmXlx,liveness,0.00967,0.01,1.0,0.00033000000000000043,The Coasters,Charlie Brown,Soul
0Aveu2KsriohUafrrerz1F,loudness,3.744,-52.5,3.74,0.0040000000000000036,The Stooges,Your Pretty Face Is Going to Hell - Alternate 'Violent' Iggy Mix,Blues
6rf8veOzvXinbAfuBlOKMB,tempo,30.379,30.4,243.0,0.020999999999997243,Tomoki Miyoshi,Voices of Winter,Soundtrack
